M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
8,200,200,0.9993,0.13274328708648683,7533.337631969785,8.376373052597046,521.90625,mnist,784,60000,10000
16,50,10,0.9503,0.021178603172302246,47217.46717025313,2.8927078247070312,521.046875,mnist,784,60000,10000
16,50,50,0.9951,0.05048911571502685,19806.249046710367,3.101392984390259,511.078125,mnist,784,60000,10000
16,50,100,0.9976,0.08209879398345948,12180.446891844367,2.804628849029541,517.453125,mnist,784,60000,10000
16,50,200,0.9987,0.13952362537384033,7167.244954541532,2.8064088821411133,517.5625,mnist,784,60000,10000
16,100,10,0.9641,0.021174025535583497,47227.67516830818,5.444791078567505,517.671875,mnist,784,60000,10000
16,100,50,0.9973,0.05944859981536865,16821.254043084795,5.300862073898315,517.78125,mnist,784,60000,10000
16,100,100,0.9987,0.0924907922744751,10811.887058253391,5.379209995269775,520.109375,mnist,784,60000,10000
16,100,200,0.9994,0.1525742769241333,6554.184756171215,5.286233901977539,529.078125,mnist,784,60000,10000
16,200,10,0.9692,0.021802473068237307,45866.35639315794,10.001228094100952,534.53125,mnist,784,60000,10000
16,200,50,0.9982,0.06228160858154297,16056.104246099194,10.007240772247314,538.53125,mnist,784,60000,10000
16,200,100,0.999,0.10194408893585205,9809.298512925516,9.972127914428711,538.65625,mnist,784,60000,10000
16,200,200,0.9996,0.17068040370941162,5858.903414023612,9.970961093902588,538.65625,mnist,784,60000,10000
24,50,10,0.9562,0.02090718746185303,47830.44117361967,3.2001302242279053,735.171875,mnist,784,60000,10000
24,50,50,0.995,0.05871400833129883,17031.71063296197,3.088721990585327,735.28125,mnist,784,60000,10000
24,50,100,0.9985,0.092734694480896,10783.450634066703,3.1274521350860596,735.78125,mnist,784,60000,10000
24,50,200,0.999,0.15827043056488035,6318.29961181578,3.2190332412719727,735.859375,mnist,784,60000,10000
24,100,10,0.9686,0.023886704444885255,41864.29326436972,6.043492078781128,737.34375,mnist,784,60000,10000
24,100,50,0.9982,0.07129647731781007,14025.938414073611,5.939567804336548,737.421875,mnist,784,60000,10000
24,100,100,0.9993,0.10773210525512696,9282.284028812388,5.9336020946502686,737.421875,mnist,784,60000,10000
24,100,200,0.9997,0.17729649543762208,5640.269411596059,5.976536750793457,737.421875,mnist,784,60000,10000
24,200,10,0.9757,0.025977301597595214,38495.14531919561,11.358037948608398,737.34375,mnist,784,60000,10000
24,200,50,0.9985,0.07324721813201904,13652.3956199623,11.288299083709717,737.34375,mnist,784,60000,10000
24,200,100,0.9994,0.11868410110473632,8425.728388990537,11.291163921356201,736.53125,mnist,784,60000,10000
24,200,200,0.9998,0.19533751010894776,5119.344458943185,11.372682094573975,715.046875,mnist,784,60000,10000
32,50,10,0.986,0.034235692024230956,29209.282502372997,4.981131076812744,702.515625,mnist,784,60000,10000
32,50,50,0.999,0.10773251056671143,9282.249106974705,4.955464839935303,695.65625,mnist,784,60000,10000
32,50,100,0.9998,0.14295907020568846,6995.009120870801,4.934648036956787,693.09375,mnist,784,60000,10000
32,50,200,0.9999,0.2228086233139038,4488.156630235763,4.925097942352295,693.34375,mnist,784,60000,10000
32,100,10,0.9676,0.02517340183258057,39724.46817679422,6.2596728801727295,597.65625,mnist,784,60000,10000
32,100,50,0.9984,0.06731410026550293,14855.72853318637,6.1075029373168945,578.03125,mnist,784,60000,10000
32,100,100,0.9994,0.11191830635070801,8935.08875006018,6.1275389194488525,578.015625,mnist,784,60000,10000
32,100,200,0.9996,0.18540711402893068,5393.536301114969,6.043653726577759,571.703125,mnist,784,60000,10000
32,200,10,0.9754,0.02755610942840576,36289.593151679335,11.58962607383728,569.125,mnist,784,60000,10000
32,200,50,0.999,0.07640588283538818,13087.997453735847,11.578370094299316,570.421875,mnist,784,60000,10000
32,200,100,0.9998,0.13427510261535644,7447.397026867991,12.039756774902344,475.0625,mnist,784,60000,10000
32,200,200,0.9998,0.19582881927490234,5106.500686174342,11.136673927307129,517.59375,mnist,784,60000,10000
