M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
4,50,10,0.0022,0.0005916118621826171,1690297.4127508665,1.0076322555541992,987.234375,nytimes,256,290000,10000
4,50,50,0.0026,0.00258941650390625,386187.3895109016,1.0938301086425781,993.1875,nytimes,256,290000,10000
4,50,100,0.0023,0.003768014907836914,265391.73131192976,0.9793059825897217,993.453125,nytimes,256,290000,10000
4,50,200,0.0024,0.00810990333557129,123306.03197375307,1.0589039325714111,993.4375,nytimes,256,290000,10000
4,100,10,0.0022,0.0006413936614990234,1559104.8992639952,1.2043838500976562,999.453125,nytimes,256,290000,10000
4,100,50,0.0028,0.002075505256652832,481810.39137077413,1.3806300163269043,1003.234375,nytimes,256,290000,10000
4,100,100,0.0026,0.003916001319885254,255362.5288434024,1.4726111888885498,1003.328125,nytimes,256,290000,10000
4,100,200,0.0027,0.00826261043548584,121027.12669415597,1.343846082687378,1005.328125,nytimes,256,290000,10000
4,200,10,0.0027,0.0006764888763427735,1478220.906463664,1.807102918624878,1005.328125,nytimes,256,290000,10000
4,200,50,0.0031,0.0020846843719482424,479688.9224364693,1.810662031173706,1005.328125,nytimes,256,290000,10000
4,200,100,0.0029,0.0038355827331542965,260716.57674233572,1.795823097229004,1005.328125,nytimes,256,290000,10000
4,200,200,0.0029,0.009094882011413575,109951.9486613521,1.7720332145690918,1005.328125,nytimes,256,290000,10000
8,50,10,0.0015,0.0005977153778076172,1673037.0961308337,1.6592650413513184,1005.328125,nytimes,256,290000,10000
8,50,50,0.0018,0.001827836036682129,547095.0238048653,1.5081899166107178,1005.328125,nytimes,256,290000,10000
8,50,100,0.0025,0.0038284063339233403,261205.2934765686,1.633340835571289,1010.046875,nytimes,256,290000,10000
8,50,200,0.0023,0.008518815040588379,117387.21820293587,2.136765956878662,1010.40625,nytimes,256,290000,10000
8,100,10,0.0026,0.0006674766540527344,1498179.7399628519,2.0580830574035645,1012.390625,nytimes,256,290000,10000
8,100,50,0.0036,0.00267939567565918,373218.4869463081,2.178129196166992,1012.390625,nytimes,256,290000,10000
8,100,100,0.0034,0.004015207290649414,249053.14411258238,2.08809494972229,1012.578125,nytimes,256,290000,10000
8,100,200,0.0025,0.008736991882324218,114455.86919029843,2.5101497173309326,1012.84375,nytimes,256,290000,10000
8,200,10,0.0037,0.0007501125335693359,1333133.303667917,3.326323986053467,981.96875,nytimes,256,290000,10000
8,200,50,0.0041,0.00239107608795166,418221.73917378776,2.9409589767456055,988.984375,nytimes,256,290000,10000
8,200,100,0.0039,0.0036735057830810545,272219.52517556044,2.690131902694702,997.671875,nytimes,256,290000,10000
8,200,200,0.0035,0.008154869079589844,122626.1255993451,2.2638258934020996,1002.125,nytimes,256,290000,10000
16,50,10,0.0007,0.0010624170303344727,941249.9719485649,9.320487976074219,862.234375,nytimes,256,290000,10000
16,50,50,0.0007,0.003122591972351074,320246.77218620916,9.171020984649658,796.484375,nytimes,256,290000,10000
16,50,100,0.0008,0.003905987739562988,256017.1886540234,9.172146797180176,798.859375,nytimes,256,290000,10000
16,50,200,0.0009,0.008398365974426268,119070.78151215178,6.7378830909729,799.71875,nytimes,256,290000,10000
16,100,10,0.0009,0.0011039972305297852,905799.3737177411,6.518376111984253,803.640625,nytimes,256,290000,10000
16,100,50,0.0011,0.002297520637512207,435251.803040523,5.835323333740234,797.875,nytimes,256,290000,10000
16,100,100,0.0009,0.003919100761413574,255160.57403926292,5.358008861541748,801.46875,nytimes,256,290000,10000
16,100,200,0.0014,0.008292412757873536,120592.16409006092,5.553005933761597,802.375,nytimes,256,290000,10000
16,200,10,0.0015,0.0010029077529907227,997100.6775228813,5.283315896987915,787.890625,nytimes,256,290000,10000
16,200,50,0.0014,0.0023418188095092776,427018.5190841249,5.264271974563599,794.546875,nytimes,256,290000,10000
16,200,100,0.0019,0.003995919227600098,250255.308739208,5.221252918243408,793.640625,nytimes,256,290000,10000
16,200,200,0.0021,0.008179783821105957,122252.61961321539,5.256226062774658,793.921875,nytimes,256,290000,10000
24,50,10,0.0066,0.0014555215835571288,687038.9359367066,10.621196985244751,753.203125,nytimes,256,290000,10000
24,50,50,0.0045,0.0028182983398437503,354824.0389821332,12.664845943450928,802.765625,nytimes,256,290000,10000
24,50,100,0.0031,0.004425406455993652,225967.94440104518,14.511547088623047,710.0625,nytimes,256,290000,10000
24,50,200,0.0041,0.009220504760742187,108453.93239832857,16.156536102294922,786.140625,nytimes,256,290000,10000
24,100,10,0.0029,0.0013870000839233398,720980.4899011602,13.162553787231445,799.578125,nytimes,256,290000,10000
24,100,50,0.0063,0.0029327869415283203,340972.60385334527,10.917644739151001,795.703125,nytimes,256,290000,10000
24,100,100,0.0031,0.00438389778137207,228107.50840249303,12.38816213607788,777.0625,nytimes,256,290000,10000
24,100,200,0.0044,0.009536099433898926,104864.67836578969,10.333289384841919,792.71875,nytimes,256,290000,10000
24,200,10,0.0057,0.001448988914489746,690136.4047716989,12.253379106521606,788.421875,nytimes,256,290000,10000
24,200,50,0.0055,0.002828788757324219,353508.19229991233,13.603675127029419,788.796875,nytimes,256,290000,10000
24,200,100,0.0079,0.00501408576965332,199438.1520260953,11.735311269760132,792.0625,nytimes,256,290000,10000
24,200,200,0.0042,0.009842610359191895,101599.06401924284,12.431487321853638,740.578125,nytimes,256,290000,10000
32,50,10,0.0057,0.0018985986709594727,526704.2557733603,166.41510605812073,725.546875,nytimes,256,290000,10000
32,50,50,0.0076,0.0046763658523559576,213841.26725162,167.36546897888184,735.640625,nytimes,256,290000,10000
32,50,100,0.0088,0.005872988700866699,170271.05804791115,164.14813709259033,733.25,nytimes,256,290000,10000
32,50,200,0.0098,0.013566899299621581,73708.80979619954,173.1366138458252,673.0625,nytimes,256,290000,10000
32,100,10,0.0049,0.0015920877456665039,628106.0844302679,24.109909057617188,793.03125,nytimes,256,290000,10000
32,100,50,0.0057,0.0030421972274780273,328709.7861268505,22.645535945892334,815.390625,nytimes,256,290000,10000
32,100,100,0.0046,0.0048173189163208015,207584.3466813163,20.22109818458557,820.5,nytimes,256,290000,10000
32,100,200,0.0047,0.009901499748229979,100994.80133590498,19.867971181869507,822.390625,nytimes,256,290000,10000
32,200,10,0.0062,0.0016978025436401368,588996.6437769446,19.907710313796997,816.25,nytimes,256,290000,10000
32,200,50,0.0062,0.0032822847366333007,304665.8289084689,24.309852123260498,743.359375,nytimes,256,290000,10000
32,200,100,0.0082,0.04479250907897949,22325.161518341607,21.944741010665894,689.78125,nytimes,256,290000,10000
32,200,200,0.007,0.014994096755981446,66692.91363623354,20.25796604156494,741.484375,nytimes,256,290000,10000
