M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
4,50,10,0.5469,0.010461902618408203,95584.90806829472,3.172496795654297,689.53125,coco-i2i,512,113287,10000
4,50,50,0.7287,0.027684402465820313,36121.422567621565,3.122413158416748,709.03125,coco-i2i,512,113287,10000
4,50,100,0.7624,0.051180696487426756,19538.61648298717,3.6697568893432617,700.875,coco-i2i,512,113287,10000
4,50,200,0.7772,0.08894178867340088,11243.308853075294,4.012080192565918,651.640625,coco-i2i,512,113287,10000
4,100,10,0.5615,0.012238812446594239,81707.2738358921,6.072882890701294,570.0625,coco-i2i,512,113287,10000
4,100,50,0.7462,0.02833540439605713,35291.53796510312,6.221635818481445,589.734375,coco-i2i,512,113287,10000
4,100,100,0.7814,0.046110105514526364,21687.219945418765,5.662201166152954,590.59375,coco-i2i,512,113287,10000
4,100,200,0.7992,0.07701511383056642,12984.464350724775,5.359358787536621,591.171875,coco-i2i,512,113287,10000
4,200,10,0.5853,0.01073441505432129,93158.31323267457,9.294847011566162,523.390625,coco-i2i,512,113287,10000
4,200,50,0.7575,0.029186487197875977,34262.43087152928,9.749247074127197,496.125,coco-i2i,512,113287,10000
4,200,100,0.7925,0.04704620838165283,21255.698055148307,9.952033996582031,519.75,coco-i2i,512,113287,10000
4,200,200,0.809,0.08264570236206055,12099.842719215143,9.14192509651184,526.15625,coco-i2i,512,113287,10000
8,50,10,0.7228,0.014417600631713868,69359.6684735695,4.333876848220825,498.328125,coco-i2i,512,113287,10000
8,50,50,0.8,0.038407087326049805,26036.861153012895,4.155997037887573,520.828125,coco-i2i,512,113287,10000
8,50,100,0.8097,0.061747622489929196,16194.955525017926,4.209316968917847,509.375,coco-i2i,512,113287,10000
8,50,200,0.8142,0.10563137531280517,9466.884219188756,4.232684135437012,509.515625,coco-i2i,512,113287,10000
8,100,10,0.7423,0.0172929048538208,57827.18452759276,7.701885938644409,489.984375,coco-i2i,512,113287,10000
8,100,50,0.8072,0.04156248569488526,24060.158657042535,7.697802782058716,510.34375,coco-i2i,512,113287,10000
8,100,100,0.8131,0.06854312419891358,14589.355412192464,7.687934160232544,518.109375,coco-i2i,512,113287,10000
8,100,200,0.8174,0.1141850709915161,8757.71229388034,7.6763482093811035,518.21875,coco-i2i,512,113287,10000
8,200,10,0.7514,0.018502402305603027,54047.035810975365,15.187849044799805,481.71875,coco-i2i,512,113287,10000
8,200,50,0.8118,0.05207040309906006,19204.767785215234,16.84321427345276,496.953125,coco-i2i,512,113287,10000
8,200,100,0.8156,0.07291278839111329,13715.015185482625,15.00843095779419,506.859375,coco-i2i,512,113287,10000
8,200,200,0.8184,0.12231521606445313,8175.597707100131,14.440683126449585,516.640625,coco-i2i,512,113287,10000
