M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
16,50,100,0.9698,0.06627917289733887,15087.695821867299,22.96061110496521,1343.6875,sift-128,128,1000000,10000
16,50,200,0.9857,0.07993526458740235,12510.123099756378,25.217249155044556,1341.140625,sift-128,128,1000000,10000
16,100,10,0.7832,0.007455587387084961,134127.59425665953,49.32829713821411,1337.96875,sift-128,128,1000000,10000
16,100,50,0.9605,0.024324798583984373,41110.30956936298,46.54137682914734,1341.5625,sift-128,128,1000000,10000
16,100,100,0.9819,0.05273637771606445,18962.242825702873,48.19164276123047,1339.8125,sift-128,128,1000000,10000
16,100,200,0.9905,0.08115050792694091,12322.781773593964,46.48078012466431,1338.25,sift-128,128,1000000,10000
16,200,10,0.7996,0.007964396476745605,125558.7919209941,87.20081114768982,1341.984375,sift-128,128,1000000,10000
16,200,50,0.9685,0.02580893039703369,38746.27830818333,91.0139651298523,1269.1875,sift-128,128,1000000,10000
16,200,100,0.9841,0.053620409965515134,18649.614962719035,92.17521500587463,1330.59375,sift-128,128,1000000,10000
16,200,200,0.991,0.08591790199279785,11639.017909024664,87.42582511901855,1316.921875,sift-128,128,1000000,10000
24,50,10,0.7545,0.007704615592956543,129792.32875864524,25.718317985534668,1405.03125,sift-128,128,1000000,10000
24,50,50,0.9461,0.02467219829559326,40531.45115077206,27.71519112586975,1402.65625,sift-128,128,1000000,10000
24,50,100,0.9728,0.041323304176330566,24199.42015606745,24.097143173217773,1468.1875,sift-128,128,1000000,10000
24,50,200,0.9861,0.08784990310668946,11383.051826312756,23.91705298423767,1484.78125,sift-128,128,1000000,10000
24,100,10,0.8075,0.009102916717529297,109854.89937245288,52.11324501037598,1405.46875,sift-128,128,1000000,10000
24,100,50,0.9677,0.028888511657714843,34615.83662905473,54.628745794296265,1404.21875,sift-128,128,1000000,10000
24,100,100,0.9851,0.05555207729339599,18001.127027501447,51.128814935684204,1463.546875,sift-128,128,1000000,10000
24,100,200,0.9907,0.10081238746643066,9919.415908416891,50.74021005630493,1461.921875,sift-128,128,1000000,10000
24,200,10,0.8304,0.010105299949645997,98957.97304215908,102.86285424232483,1334.171875,sift-128,128,1000000,10000
24,200,50,0.9765,0.03166511058807373,31580.499212803556,102.52608394622803,1220.421875,sift-128,128,1000000,10000
24,200,100,0.9884,0.06184661388397217,16169.033956750776,103.26631808280945,1404.6875,sift-128,128,1000000,10000
24,200,200,0.9917,0.10754978656768799,9298.019381662238,101.08464097976685,1403.21875,sift-128,128,1000000,10000
32,50,10,0.8592,0.01198718547821045,83422.41819964636,43.39601373672485,1523.296875,sift-128,128,1000000,10000
32,50,50,0.977,0.03860790729522705,25901.42978621445,44.2251501083374,1465.65625,sift-128,128,1000000,10000
32,50,100,0.9887,0.07395751476287843,13521.276413981546,44.98324108123779,1468.3125,sift-128,128,1000000,10000
32,50,200,0.9921,0.13120319843292236,7621.765413830593,44.35388112068176,1467.734375,sift-128,128,1000000,10000
32,100,10,0.8193,0.009158110618591309,109192.82826415772,53.14933681488037,1465.96875,sift-128,128,1000000,10000
32,100,50,0.9707,0.034523391723632814,28965.867780466513,51.57296895980835,1534.703125,sift-128,128,1000000,10000
32,100,100,0.9875,0.05551180839538575,18014.185250054332,54.05220103263855,1521.25,sift-128,128,1000000,10000
32,100,200,0.9922,0.10364441871643067,9648.372892475596,53.15815496444702,1468.78125,sift-128,128,1000000,10000
32,200,10,0.8493,0.010461187362670899,95591.4434310146,105.49944376945496,1463.578125,sift-128,128,1000000,10000
32,200,50,0.9789,0.032437610626220706,30828.41123913293,102.21702408790588,1464.171875,sift-128,128,1000000,10000
32,200,100,0.9908,0.06294956207275391,15885.734023760971,103.65784192085266,1458.890625,sift-128,128,1000000,10000
32,200,200,0.9929,0.11797292232513427,8476.521393985582,111.0139422416687,1463.28125,sift-128,128,1000000,10000
